Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,AlignmentBackfieldRoutesPercentage,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsInEndzone,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,TargetsContestedTotal
Bucky Irving,TB,RB,2,No,No,No,2,1,No,No,0.5,1,39.6,-5.8271,1.4453,1.4453,0.5,10,,,,,,,,,,,,
DJ Moore,CHI,WR,9,No,Yes,No,9,1,No,No,0.1111,,39.6,-10.4097,4.0645,4.0645,0.1111,17,1,15,0.2222,0.7778,1,15,1,,,,,
Tyjae Spears,TEN,RB,2,No,Yes,No,2,1,No,No,0.5,1,39.6,-6.3947,1.4958,1.4958,0.5,13,,2,,,,2,,,,,,
Josh Oliver,MIN,TE,2,No,No,No,2,,No,No,,,,,,,,15,,,0.5,,,,,0.5,,,,
Nick Chubb,HST,RB,5,No,No,No,4,2,No,No,0.5,1,39.6,-6.3537,2.8977,2.8977,0.4,15,,1,,,,0.5,,,,,,
Michael Carter,ARZ,RB,6,No,No,No,6,1,No,No,0.1667,1,39.6,-6.3947,1.3058,1.3058,0.1667,13,,2,,,,2,,,,,,
Isaiah Bond,CLV,WR,5,No,Yes,No,5,3,No,No,0.6,,39.6,-7.3868,4.5469,4.5469,0.6,16,,23,0.4,0.6,3,7.6667,,,,,,
Isaiah Davis,NYJ,RB,2,No,No,No,2,,No,No,,1,,,,,,16,,,,,,,,,,,,
Colby Parkinson,LA,TE,5,No,No,No,3,,No,No,,,,,,,,15,,,0.3333,,,,,0.6667,,,,
Jacory Croskey-Merritt,WAS,RB,3,No,No,Yes,3,2,No,No,0.6667,1,39.6,-6.1329,2.7518,2.7518,0.6667,17,,-3,,,1,-1.5,,,1,0.5,,
Rome Odunze,CHI,WR,7,No,No,Yes,6,2,No,No,0.3333,,39.6,-6.7137,3.171,3.171,0.2857,12,,12,0.5,0.5,1,6,,,,,,
Brenden Bates,CLV,TE,1,No,Yes,No,1,,No,No,,,,,,,,9,,,,,,,,1,,,,
Quinshon Judkins,CLV,RB,2,No,No,No,1,,No,No,,1,,,,,,14,,,,,,,,,,,,
Devaughn Vele,NO,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-6.9491,1.3721,1.3721,0.3333,13,,6,0.6667,0.3333,1,6,,,,,,
Josh Downs,IND,WR,5,No,No,No,5,1,No,No,0.2,,39.6,-6.3628,1.9316,1.9316,0.2,16,,5,0.8,0.2,1,5,1,,,,,
Tetairoa McMillan,CAR,WR,8,No,No,No,8,5,No,No,0.625,,39.6,-7.9137,8.7438,8.7438,0.625,17,,58,0.125,0.875,4,11.6,,,,,1,
Foster Moreau,NO,TE,1,No,No,No,1,,No,No,,,,,,,,11,,,,,,,,1,,,,
Isaiah Hodgins,NYG,WR,4,No,Yes,No,4,1,No,No,0.25,,39.6,-6.3628,1.4109,1.4109,0.25,7,,5,0.5,0.5,1,5,,,,,,
Gage Larvadain,CLV,WR,4,No,Yes,No,4,,No,No,,,,,,,,13,,,,1,,,,,,,,
David Sills,ATL,WR,4,No,No,No,4,2,No,No,0.5,,39.6,-8.1802,3.1521,3.1521,0.5,17,,22,0.5,0.5,1,11,,,,,1,
Zamir White,LV,RB,1,No,Yes,No,1,1,No,No,1,1,39.6,-5.7294,1.1731,1.1731,1,5,,1,,,,1,,,,,,
Ameer Abdullah,IND,RB,1,No,No,No,1,,No,No,,1,,,,,,13,,,,,,,,,,,,
Jauan Jennings,SF,WR,4,No,No,No,4,2,No,No,0.5,,39.6,-9.6621,4.2445,4.2445,0.5,15,,28,0.75,0.25,2,14,,,,,,
Ja'Tavion Sanders,CAR,TE,4,No,No,No,4,,No,No,,,,,1.7115,1.7115,,13,,,0.75,,,,,0.25,,,,
Jahdae Walker,CHI,WR,1,No,Yes,No,1,,No,No,,,,,,,,7,,,,1,,,,,,,,
Mack Hollins,NE,WR,7,No,Yes,No,7,2,No,No,0.2857,,39.6,-9.4297,3.5391,3.5391,0.2857,15,,26,,1,2,13,,,,,,
Juwan Johnson,NO,TE,6,No,No,No,6,,No,No,,,,,,,,17,,,0.5,0.1667,,,,0.3333,,,,
David Montgomery,DET,RB,3,No,Yes,No,2,1,No,No,0.5,1,39.6,-8.5126,1.8472,1.8472,0.5,17,,8,,,1,8,1,,,,,
Hassan Haskins,LAC,RB,1,No,Yes,Yes,1,,No,No,,1,,,,,,11,,,,,,,,,,,,
Jack Bech,LV,WR,4,No,Yes,No,4,,No,No,,,,,,,,16,,,0.25,0.75,,,,,,,,
Andrew Ogletree,IND,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,15,,,,,,,,1,,,,
Jaylen Warren,PIT,RB,4,No,No,No,3,1,No,No,0.3333,0.3333,39.6,-6.3947,1.4126,1.4126,0.25,16,,2,0.3333,0.3333,,2,,,,,,
Kendrick Bourne,SF,WR,5,No,No,No,5,,No,No,,,,,,,,16,,,0.4,0.6,,,,,,,,
Tyler Badie,DEN,RB,3,No,Yes,Yes,3,3,No,No,1,1,39.6,-6.282,3.913,3.913,1,16,,6,,,1,2,,,,,,
Jalen Brooks,ARZ,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-11.2393,1.3651,1.3651,0.3333,6,,21,0.3333,0.6667,,21,,,,,1,
Kenneth Gainwell,PIT,RB,5,No,No,No,5,,No,No,,0.4,,,1.6487,1.6487,,17,,,,0.4,,,,0.2,,,,
Marquise Brown,KC,WR,8,No,Yes,No,8,2,No,No,0.25,,39.6,-7.9318,2.7314,2.7314,0.25,16,,19,0.375,0.625,1,9.5,,,,,,
John Metchie,NYJ,WR,10,No,No,No,9,,No,No,,,,,,,,16,,,0.2222,0.7778,,,,,,,,
Jalen Nailor,MIN,WR,11,No,No,No,10,6,No,No,0.6,,39.6,-9.9539,10.0601,10.0601,0.5455,17,,93,0.8,0.2,4,15.5,1,,,,2,
KaVontae Turpin,DAL,WR,1,No,Yes,No,1,,No,No,,,,,2.0795,2.0795,,15,,,1,,,,,,,,,
Jake Ferguson,DAL,TE,1,No,Yes,No,1,,No,No,,,,,,,,17,,,1,,,,,,,,,
Davante Adams,LA,WR,4,No,No,No,3,1,No,No,0.3333,,39.6,-10.0952,1.9169,1.9169,0.25,14,,16,0.3333,0.6667,,16,,,,,,
Dare Ogunbowale,HST,RB,2,No,No,No,2,,No,No,,1,,,,,,17,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,11,No,Yes,No,10,3,No,No,0.3,,39.6,-8.2279,4.6362,4.6362,0.2727,17,,33,0.1,0.9,3,11,,,,,,
Nico Collins,HST,WR,11,No,No,No,11,2,No,No,0.1818,,39.6,-10.2524,5.7021,5.7021,0.1818,15,1,31,0.1818,0.8182,2,15.5,1,,,,,
Elijah Arroyo,SEA,TE,1,No,No,No,1,,No,No,,,,,,,,13,,,,1,,,,,,,,
Darius Slayton,NYG,WR,6,No,Yes,No,6,1,No,No,0.1667,,39.6,-10.8991,3.69,3.69,0.1667,14,1,18,,1,1,18,1,,,,,
Bam Knight,ARZ,RB,2,No,No,No,2,1,Yes,No,0.5,1,39.6,-6.5094,4.9714,4.9714,0.5,12,1,3,,,,3,1,,,,,
Jaret Patterson,LAC,RB,1,No,Yes,Yes,1,,No,No,,1,,,,,,6,,,,,,,,,,,,
Samaje Perine,CIN,RB,6,No,Yes,No,4,1,No,No,0.25,1,39.6,-5.8271,1.3488,1.3488,0.1667,15,,,,,,,,,,,,
Travis Etienne,JAX,RB,3,No,Yes,No,1,1,No,No,1,1,39.6,-5.8271,1.2956,1.2956,0.3333,17,,,,,1,,,,1,1,,
Josh Whyle,GB,TE,1,No,No,No,1,,No,No,,,,,,,,8,,,1,,,,,,,,,
Jordan Whittington,LA,WR,3,No,No,No,2,,No,No,,,,,,,,17,,,,1,,,,,,,,
Emari Demercado,ARZ,RB,3,No,No,No,3,2,No,No,0.6667,1,39.6,-6.8945,3.118,3.118,0.6667,13,,11,,,,5.5,,,,,,
Rasheen Ali,BLT,RB,1,No,No,No,1,,No,No,,1,,,,,,15,,,,,,,,,,,,
Will Dissly,LAC,TE,2,No,Yes,Yes,2,,No,No,,,,,,,,9,,,,1,,,,,,,,
Jamari Thrash,CLV,WR,7,No,No,No,6,,No,No,,,,,1.392,1.392,,9,,,0.5,0.5,,,,,,,,
Matthew Golden,GB,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-15,3.2207,3.2207,0.3333,14,,44,0.6667,0.3333,1,44,,,,,1,
Saquon Barkley,PHI,RB,6,No,No,No,4,,No,No,,0.5,,,,,,16,,,,0.5,,,,,,,,
Evan Engram,DEN,TE,7,No,Yes,Yes,6,1,No,No,0.1667,,39.6,-10.191,4.0865,4.0865,0.1429,16,1,16,0.6667,,,16,1,0.3333,,,,
Keleki Latu,BUF,TE,1,No,No,No,1,,No,No,,,,,,,,5,,,1,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,1,No,Yes,No,1,,No,No,,,,,,,,17,,,,,,,,1,,,,
Tyler Higbee,LA,TE,2,No,No,No,2,1,No,No,0.5,,39.6,-6.3701,2.5963,2.5963,0.5,10,,2,0.5,,1,2,1,0.5,,,,
Nick Westbrook-Ikhine,MIA,WR,4,No,No,No,4,,No,No,,,,,1.6305,1.6305,,15,,,0.5,0.5,,,,,,,,
Adonai Mitchell,NYJ,WR,12,No,No,No,12,8,No,No,0.6667,,,-9.7206,15.919,15.919,0.6667,16,,133,0.0833,0.9167,5,16.625,,,,,3,1
Pat Bryant,DEN,WR,6,No,Yes,Yes,6,1,No,No,0.1667,,39.6,-9.8134,1.933,1.933,0.1667,15,,14,0.6667,0.3333,1,14,,,,,,
Marquez Valdes-Scantling,PIT,WR,5,No,No,No,5,3,No,No,0.6,,39.6,-10.4599,5.653,5.653,0.6,10,,49,0.6,0.4,3,16.3333,,,,,1,
Dylan Sampson,CLV,RB,3,No,Yes,No,3,,No,No,,1,,,,,,15,,,,,,,,,,,,
Jawhar Jordan,HST,RB,1,No,No,No,1,,No,No,,1,,,,,,4,,,,,,,,,,,,
Kayshon Boutte,NE,WR,7,No,No,No,6,2,No,No,0.3333,,,-11.0042,5.3592,5.3592,0.2857,14,1,43,,1,2,21.5,1,,,,1,
D'Andre Swift,CHI,RB,9,No,Yes,No,8,2,No,No,0.25,0.875,39.6,-8.2389,4.2437,4.2437,0.2222,16,,21,,0.125,,10.5,,,,,,
Adam Trautman,DEN,TE,8,No,Yes,Yes,4,,No,No,,,,,,,,17,,,0.5,,,,,0.5,,,,
Trevor Etienne,CAR,RB,1,No,No,No,1,,No,No,,,,,,,,17,,,1,,,,,,,,,
Ja'Marr Chase,CIN,WR,14,No,Yes,No,14,7,No,No,0.5,,,-7.7001,10.0305,10.0305,0.5,16,,65,0.5714,0.4286,6,9.2857,2,,,,1,
Tommy Tremble,CAR,TE,3,No,No,No,3,2,No,No,0.6667,,39.6,-7.573,3.6089,3.6089,0.6667,17,,17,1,,1,8.5,,,,,,
Cooper Kupp,SEA,WR,5,No,No,No,5,2,No,No,0.4,,39.6,-8.4999,4.2652,4.2652,0.4,16,,19,0.8,0.2,2,9.5,,,,,,
Kyle Williams,NE,WR,3,No,No,No,3,,No,No,,,,,,,,17,,,0.6667,0.3333,,,,,,,,
James Conner,ARZ,RB,1,No,Yes,No,1,,No,No,,1,,,,,,3,,,,,,,,,,,,
Anthony Firkser,DET,TE,2,No,Yes,No,1,,No,No,,,,,,,,7,,,1,,,,,,,,,
Justice Hill,BLT,RB,5,No,Yes,Yes,4,2,Yes,No,0.5,1,39.6,-6.062,2.8393,2.8393,0.4,10,,3,,,,1.5,,,,,,
Tom Kennedy,DET,WR,1,No,Yes,No,1,,No,No,,,,,,,,6,,,1,,,,,,,,,
Chris Brooks,GB,RB,1,No,No,No,1,,No,No,,1,,,,,,17,,,,,,,,,,,,
Christian Watson,GB,WR,5,No,No,No,5,2,No,No,0.4,,39.6,-9.5706,6.3965,6.3965,0.4,10,2,28,0.4,0.6,1,14,2,,,,,
Darnell Washington,PIT,TE,2,No,No,No,2,,No,No,,,,,,,,16,,,1,,,,,,,,,
Davis Allen,LA,TE,6,No,No,No,5,,No,No,,,,,,,,17,,,0.4,,,,,0.6,,,,
Charlie Kolar,BLT,TE,1,No,No,No,1,,No,No,,,,,,,,17,,,,,,,,1,,,,
Coleman Owen,IND,WR,1,No,Yes,Yes,1,1,No,No,1,,39.6,-5.4499,1.4333,1.4333,1,2,,3,1,,1,3,,,,,,
Courtland Sutton,DEN,WR,12,No,Yes,Yes,12,3,No,No,0.25,,39.6,-9.7585,5.2933,5.2933,0.25,17,,47,0.25,0.75,2,15.6667,1,,,,1,
Javonte Williams,DAL,RB,3,No,No,Yes,2,1,No,No,0.5,1,39.6,-6.3947,1.256,1.256,0.3333,16,,2,,,,2,,,,,,
Greg Dortch,ARZ,WR,5,Yes,Yes,No,5,,No,No,,,,,,,,12,,,0.8,0.2,,,,,,,,
Tyrell Shavers,BUF,WR,3,No,No,No,2,,No,No,,,,,,,,17,,,,1,,,,,,,,
Michael Pittman,IND,WR,7,No,No,No,7,2,No,No,0.2857,,39.6,-8.8356,2.9962,2.9962,0.2857,17,,32,,1,2,16,,,,,1,1
Malik Washington,MIA,WR,5,No,No,No,5,,No,No,,0.2,,,,,,17,,,0.4,0.4,,,,,,,,
Tyler Goodson,IND,RB,1,No,No,No,1,,No,No,,1,,,,,,11,,,,,,,,,,,,
Jordan Mason,MIN,RB,5,No,No,No,3,1,No,No,0.3333,1,39.6,-5.7294,1.3977,1.3977,0.2,16,,1,,,,1,,,,,,
Tre Tucker,LV,WR,12,No,Yes,No,12,1,No,No,0.0833,,39.6,-10.2174,1.8643,1.8643,0.0833,17,1,23,0.1667,0.8333,1,23,1,,,,1,
Jonathan Taylor,IND,RB,5,No,No,No,1,,No,No,,1,,,,,,17,,,,,,,,,,,,
Troy Franklin,DEN,WR,11,No,Yes,Yes,11,2,No,No,0.1818,,39.6,-8.3813,3.4576,3.4576,0.1818,17,,20,0.3636,0.6364,1,10,,,,,,
Brian Thomas,JAX,WR,3,No,Yes,No,1,,No,No,,,,,,,,14,,,,1,,,,,,,,
Josh Reynolds,NYJ,WR,1,No,No,No,1,,No,No,,,,,,,,5,,,1,,,,,,,,,
Noah Gray,KC,TE,2,No,Yes,No,2,1,No,No,0.5,,39.6,-11.6807,3.7259,3.7259,0.5,16,,17,1,,1,17,,,,,,
Chimere Dike,TEN,WR,4,No,Yes,No,4,2,No,No,0.5,,39.6,-8.2784,2.5689,2.5689,0.5,17,,20,0.75,0.25,1,10,,,,,,
DeAndre Hopkins,BLT,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-11.9133,2.33,2.33,0.3333,17,,27,,1,1,27,,,,,1,
Laquon Treadwell,IND,WR,1,No,No,No,1,,No,No,,,,,,,,9,,,,1,,,,,,,,
T.J. Hockenson,MIN,TE,14,No,Yes,Yes,12,,No,No,,,,,,,,15,,,0.3333,0.3333,,,,0.3333,,,,
Stone Smartt,NYJ,TE,4,No,No,No,4,,No,No,,,,,,,,8,,,0.75,0.25,,,,,,,,
Simi Fehoko,ARZ,WR,2,No,No,No,2,,No,No,,,,,,,,7,,,,1,,,,,,,,
Xavier Hutchinson,HST,WR,13,No,No,No,13,4,No,No,0.3077,,39.6,-8.9608,6.8242,6.8242,0.3077,17,,47,0.1538,0.8462,2,11.75,,,,,,
Michael Wilson,ARZ,WR,12,No,No,No,12,2,No,No,0.1667,,39.6,-7.9976,7.8994,7.8994,0.1667,17,2,18,0.0833,0.9167,2,9,2,,,,,
Ian Thomas,LV,TE,2,No,Yes,No,1,,No,No,,,,,,,,15,,,,,,,,1,,,,
Zay Flowers,BLT,WR,6,No,No,No,6,,No,No,,,,,,,,17,,,,1,,,,,,,,
Zavier Scott,MIN,RB,2,No,No,No,1,,No,No,,1,,,,,,11,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,7,No,Yes,No,7,2,No,No,0.2857,0.7143,39.6,-5.5191,3.3027,3.3027,0.2857,17,,-4,0.1429,0.1429,2,-2,1,,1,0.5,,
Cody White,SEA,WR,1,Yes,Yes,No,1,1,No,No,1,,,-7.0645,1.5757,1.5757,1,9,,7,1,,1,7,,,,,,
Hunter Henry,NE,TE,6,No,No,No,6,1,No,No,0.1667,,,-10.2817,1.6111,1.6111,0.1667,17,,14,0.3333,,1,14,,0.6667,,,,
Dalton Kincaid,BUF,TE,4,No,No,No,4,1,No,No,0.25,,39.6,-7.7685,1.359,1.359,0.25,12,,10,0.75,,1,10,,0.25,,,,
Jakobi Meyers,JAX,WR,6,No,Yes,No,5,2,No,No,0.4,,39.6,-9.375,4.7502,4.7502,0.3333,16,1,29,0.8,0.2,2,14.5,1,,,,1,
Gabe Davis,BUF,WR,3,No,No,No,3,,No,No,,,,,,,,6,,,,1,,,,,,,,
Jaylen Wright,MIA,RB,1,No,No,No,1,,No,No,,1,,,,,,10,,,,,,,,,,,,
Rashee Rice,KC,WR,6,No,Yes,No,5,2,Yes,No,0.4,,39.6,-8.8575,4.9489,4.9489,0.3333,8,,21,0.6,0.4,,10.5,1,,,,,1
Britain Covey,PHI,WR,1,No,No,Yes,1,,No,No,,,,,,,,6,,,1,,,,,,,,,
Austin Hooper,NE,TE,3,No,No,No,3,,No,No,,,,,,,,16,,,,0.3333,,,,0.6667,,,,
Ollie Gordon,MIA,RB,2,No,No,No,2,,No,No,,1,,,,,,17,,,,,,,,,,,,
Bryce Oliver,TEN,WR,1,No,Yes,No,1,,No,No,,,,,,,,3,,,,1,,,,,,,,
Mo Alie-Cox,IND,TE,2,No,No,No,1,,No,No,,,,,,,,17,,,,,,,,1,,,,
Tyrone Tracy,NYG,RB,8,No,Yes,No,7,1,No,No,0.1429,0.8571,39.6,-6.3947,1.3309,1.3309,0.125,15,,2,,0.1429,,2,,,,,,
Michael Mayer,LV,TE,8,No,Yes,No,7,2,No,No,0.2857,,,-6.4009,2.6452,2.6452,0.25,13,,8,0.2857,0.1429,,4,,0.5714,,,,
Jelani Woods,NYJ,TE,1,No,No,No,1,,No,No,,,,,,,,4,,,,,,,,1,,,,
Marvin Harrison,ARZ,WR,7,No,No,No,7,2,No,No,0.2857,,39.6,-7.9076,5.7415,5.7415,0.2857,12,,21,0.2857,0.7143,2,10.5,,,,,,
Cedrick Wilson,MIA,WR,1,No,No,No,1,,No,No,,,,,,,,10,,,,1,,,,,,,,
Tank Bigsby,PHI,RB,1,No,No,Yes,1,,No,No,,1,,,,,,16,,,,,,,,,,,,
Brashard Smith,KC,RB,4,No,Yes,No,4,2,No,No,0.5,1,39.6,-6.0125,3.0951,3.0951,0.5,17,,-2,,,1,-1,,,1,0.5,,
Sean Tucker,TB,RB,2,No,No,No,1,,No,No,,1,,,,,,17,,,,,,,,,,,,
De'Von Achane,MIA,RB,3,No,No,No,3,1,No,No,0.3333,1,39.6,-5.5699,1.5079,1.5079,0.3333,16,,-4,,,,-4,,,,,,
Mike Evans,TB,WR,2,No,No,No,2,1,No,No,0.5,,39.6,-9.194,1.245,1.245,0.5,8,,30,,1,1,30,,,,,1,
Tyler Lockett,LV,WR,5,No,Yes,No,5,,No,No,,,,,,,,17,,,1,,,,,,,,,
Jordan Addison,MIN,WR,9,No,No,No,8,1,No,No,0.125,,39.6,-10.8991,2.0607,2.0607,0.1111,14,,18,,1,,18,,,,,,
Keon Coleman,BUF,WR,6,No,No,No,6,2,No,No,0.3333,,39.6,-11.5763,3.6828,3.6828,0.3333,13,,48,0.1667,0.8333,2,24,,,,,2,
Jayden Higgins,HST,WR,5,No,No,No,5,1,No,No,0.2,,39.6,-7.5,1.3981,1.3981,0.2,17,,10,0.6,0.4,1,10,,,,,,
Malik Heath,GB,WR,2,No,Yes,No,2,,No,No,,,,,,,,11,,,0.5,0.5,,,,,,,,
Jalen Royals,KC,WR,1,No,Yes,No,1,,No,No,,,,,,,,7,,,,1,,,,,,,,
Darius Cooper,PHI,WR,1,No,No,Yes,1,,No,No,,,,,,,,13,,,,1,,,,,,,,
Jack Stoll,NO,TE,1,Yes,No,No,1,,No,No,,1,,,,,,15,,,,,,,,,,,,
Nate Adkins,DEN,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,9,,,,,,,,1,,,,
Tre Harris,LAC,WR,3,No,Yes,Yes,3,,No,No,,,,,,,,17,,,0.3333,0.6667,,,,,,,,
Luke Schoonmaker,DAL,TE,3,No,Yes,No,3,1,No,No,0.3333,,39.6,-11.7623,2.0407,2.0407,0.3333,17,,20,,,1,20,,1,,,1,
Jameson Williams,DET,WR,8,No,Yes,No,7,2,No,No,0.2857,,39.6,-8.6567,3.2497,3.2497,0.25,17,,24,0.2857,0.7143,1,12,,,,,,
Jahan Dotson,PHI,WR,8,No,No,Yes,8,1,No,No,0.125,,39.6,-9.8134,2.0147,2.0147,0.125,17,,14,0.5,0.5,,14,,,,,,
DeVonta Smith,PHI,WR,8,No,No,Yes,8,4,No,No,0.5,,39.6,-8.3594,6.7817,6.7817,0.5,17,,45,0.25,0.75,4,11.25,,,,,1,
Theo Johnson,NYG,TE,7,No,Yes,Yes,7,,No,No,,,,,,,,15,,,0.8571,0.1429,,,,,,,,
Mitchell Evans,CAR,TE,1,No,No,No,1,,No,No,,,,,,,,17,,,1,,,,,,,,,
Luke Musgrave,GB,TE,3,No,No,No,3,,No,No,,,,,,,,17,,,0.3333,0.6667,,,,,,,,
Aaron Jones,MIN,RB,5,No,No,No,4,2,No,No,0.5,1,39.6,-5.6437,2.8545,2.8545,0.4,12,,-8,,,1,-4,,,1,0.5,,
Christian Kirk,HST,WR,7,No,No,No,7,1,No,No,0.1429,,39.6,-8.3152,1.5429,1.5429,0.1429,13,,11,0.8571,0.1429,,11,,,,,,
Puka Nacua,LA,WR,4,No,No,No,4,2,No,No,0.5,,39.6,-6.7802,5.1114,5.1114,0.5,16,1,12,,1,2,6,1,,,,,
Woody Marks,HST,RB,7,No,No,No,6,1,No,No,0.1667,1,39.6,-7.233,1.9344,1.9344,0.1429,16,,5,,,1,5,1,,,,,
Jason Brownlee,KC,WR,1,No,Yes,No,1,,No,No,,,,,,,,6,,,,1,,,,,,,,
Carter Runyon,LV,TE,1,No,Yes,No,1,,No,No,,,,,,,,10,,,,,,,,1,,,,
Malik Nabers,NYG,WR,2,No,No,No,2,,No,No,,,,,,,,4,,,,1,,,,,,,,
Cade Otton,TB,TE,6,No,No,No,5,1,No,No,0.2,0.2,39.6,-7.7685,1.3316,1.3316,0.1667,16,,10,0.2,0.2,1,10,,0.4,,,,
DeMario Douglas,NE,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-6.3628,1.5677,1.5677,0.3333,17,,5,0.6667,0.3333,1,5,,,,,,
Xavier Weaver,ARZ,WR,3,No,No,No,3,1,No,No,0.3333,,,-11.4887,2.156,2.156,0.3333,9,,25,0.3333,0.6667,1,25,,,,,1,
Ray-Ray McCloud,NYG,WR,4,No,Yes,No,4,,No,No,,,,,,,,6,,,0.25,0.75,,,,,,,,
