id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
16,,,,403,35,74,22,14,52,7,1589,314,28,276,0.0022,455.7210000000005,3.7860000000000076,52,18,89,17,0,2246,137,2043,25,74,5,884,0,0,43,4,0,0,0,353,0,0,0,234,0,0,261,0,0,0,60,150,303,0,69,40,0,251,0
3,,,,433,61,126,27,21,58,11,1702,345,39,289,-0.0212,423.13200000000006,22.976000000000006,58,14,85,16,0,2951,151,2168,28,74,7,877,0,0,100,3,0,0,0,340,0,0,0,175,0,0,389,0,0,0,50,204,254,0,69,33,0,336,0
24,,,,375,28,72,12,23,35,6,1076,318,49,227,-0.008,413.35999999999984,-52.08999999999999,36,17,75,16,0,1994,149,2010,17,69,4,581,0,0,92,3,0,0,0,347,0,0,0,209,0,0,347,0,0,0,62,130,210,0,33,23,0,233,0
12,,,,415,34,68,14,15,48,4,1239,282,49,292,0.0409,595.2559999999994,-50.18199999999993,37,18,63,19,0,2373,94,1783,16,52,3,470,0,0,99,4,0,0,0,195,0,0,0,209,0,0,327,0,0,0,38,135,267,0,59,12,0,411,0
25,,,,409,35,73,20,19,47,3,1385,321,40,289,0.0084,495.5809999999999,-4.755000000000045,46,17,82,20,0,2401,131,1808,17,54,2,597,0,0,74,5,0,0,0,276,0,0,0,217,0,0,372,0,0,0,45,162,236,0,56,9,0,341,0
2,,,,426,42,86,17,13,44,7,1310,304,43,280,-0.0219,378.014,26.33599999999997,52,20,104,27,0,2272,118,1839,20,59,6,667,0,0,66,4,0,0,0,307,0,0,0,187,0,0,334,0,0,0,54,161,236,0,89,35,0,298,0
4,,,,437,33,59,21,22,43,6,1200,295,39,289,0.0078,487.43699999999995,18.035000000000064,43,17,92,23,0,2506,134,1289,18,48,5,617,0,0,63,6,0,0,0,232,0,0,0,228,0,0,297,0,0,0,68,126,295,0,84,19,0,379,0
1,,,,406,27,64,9,20,46,4,1250,290,42,282,0.0313,549.9319999999999,19.125000000000007,48,13,87,17,0,2266,175,1445,19,48,2,593,0,0,66,2,0,0,0,234,0,0,0,231,0,0,307,0,0,0,54,134,235,0,38,36,0,344,0
6,,,,354,33,73,17,16,57,5,1721,243,37,249,0.0494,558.8940000000001,-4.211999999999913,38,12,71,12,0,2327,121,1652,25,60,4,890,0,0,77,2,0,0,0,220,0,0,0,151,0,0,304,0,0,0,38,139,224,0,76,13,0,321,0
31,,,,344,34,64,12,22,42,6,1224,264,31,227,0.0027,404.0130000000001,28.635000000000005,41,20,83,21,0,1764,163,1613,14,51,4,462,0,0,92,3,0,0,0,250,0,0,0,159,0,0,249,0,0,0,41,121,225,0,42,28,0,252,0
19,,,,381,26,83,14,20,45,5,1306,298,36,262,-0.0015,438.96900000000045,88.57599999999991,57,17,73,22,0,2469,199,2094,21,73,4,704,0,0,68,2,0,0,0,308,0,0,0,202,0,0,357,0,0,0,46,147,171,0,47,31,0,251,0
7,,,,403,43,81,16,16,48,12,1447,304,48,273,-0.0254,352.4160000000001,35.42899999999997,38,22,55,18,0,2294,126,1921,18,58,10,600,0,0,84,5,0,0,0,293,0,0,0,206,0,0,292,0,0,0,59,142,278,0,58,34,0,311,0
13,,,,368,21,60,25,22,49,16,1681,328,46,234,-0.0109,409.0240000000002,-38.986000000000054,34,13,53,16,0,2271,175,2700,17,84,9,678,0,0,61,4,0,0,0,294,0,0,0,225,0,0,341,0,0,0,70,143,237,0,46,21,0,305,0
14,,,,405,30,63,12,13,47,7,1523,273,62,275,-0.0077,401.35100000000006,35.47299999999998,34,15,74,21,0,2329,37,1619,23,55,3,860,0,0,92,3,0,0,0,238,0,0,0,201,0,0,309,0,0,0,32,145,257,0,54,12,0,340,0
15,,,,429,32,87,23,18,71,14,2206,315,45,285,-0.0127,425.34700000000095,113.31200000000021,42,16,77,16,0,2671,102,1857,33,74,8,1151,0,0,64,2,0,0,0,362,0,0,0,223,0,0,308,0,0,0,60,156,294,0,55,10,0,250,0
17,,,,398,18,57,18,24,42,5,1230,291,55,279,-0.0221,354.67899999999963,-12.604000000000013,40,12,83,17,0,2098,133,1599,21,45,3,651,0,0,64,8,0,0,0,241,0,0,0,250,0,0,290,0,0,0,59,124,279,0,55,30,0,358,0
5,,,,394,40,83,16,16,51,8,1516,272,44,273,-0.0031,429.7739999999994,83.61699999999996,52,26,96,28,0,2458,92,1547,21,48,6,651,0,0,95,7,0,0,0,297,0,0,0,167,0,0,352,0,0,0,38,148,178,0,57,25,0,258,0
20,,,,402,31,84,19,13,56,7,1772,295,46,269,-0.0229,392.34899999999976,-24.503,43,14,66,12,0,2516,104,2395,28,79,4,920,0,0,76,3,0,0,0,361,0,0,0,200,0,0,321,0,0,0,73,175,285,0,45,21,0,266,0
18,,,,456,39,81,12,25,51,5,1424,335,41,297,0.0127,581.0310000000006,-58.421000000000014,47,16,85,19,0,2740,102,2190,29,79,4,880,0,0,114,4,0,0,0,217,0,0,0,234,0,0,257,0,0,0,46,160,384,0,55,41,0,465,0
21,,,,383,34,68,15,20,49,9,1442,286,46,262,0.0097,453.8979999999998,59.71999999999999,36,15,66,15,0,2335,99,1301,28,46,7,864,0,0,87,2,0,0,0,270,0,0,0,168,0,0,369,0,0,0,52,124,162,0,54,15,0,276,0
23,,,,414,21,69,13,21,47,7,1368,283,60,281,-0.0077,408.1100000000001,24.656,42,18,72,22,0,2412,214,1360,17,50,5,544,0,0,96,9,0,0,0,244,0,0,0,202,0,0,310,0,0,0,33,125,229,0,75,51,0,346,0
26,,,,412,38,89,18,16,48,11,1462,322,43,254,-0.031,330.62600000000026,-50.36999999999992,41,16,60,13,0,2515,87,1641,20,53,9,658,0,0,89,3,0,0,0,234,0,0,0,206,0,0,275,0,0,0,62,161,308,0,33,25,0,374,0
10,,,,427,35,79,13,17,47,6,1380,371,45,279,-0.0221,399.4080000000003,-81.185,39,13,82,16,0,2444,115,1866,22,61,4,689,0,0,102,6,0,0,0,406,0,0,0,198,0,0,377,0,0,0,51,169,245,0,60,41,0,257,0
28,,,,401,35,96,21,13,48,7,1405,290,51,272,0.0151,527.611,-22.644999999999992,49,16,92,19,0,2062,126,1710,22,61,6,711,0,0,72,0,0,0,0,304,0,0,0,194,0,0,298,0,0,0,65,165,286,0,60,30,0,310,0
8,,,,347,36,92,14,16,56,12,1728,277,50,234,0.048,556.3729999999999,22.99300000000001,43,19,55,15,0,2303,131,2435,30,86,8,1032,0,0,73,6,0,0,0,310,0,0,0,145,0,0,365,0,0,0,33,171,149,0,71,32,0,236,0
9,,,,385,24,63,19,19,47,11,1626,300,46,249,0.0169,485.26099999999946,-9.955000000000034,33,17,66,18,0,2385,174,1845,22,70,7,867,0,0,69,9,0,0,0,300,0,0,0,209,0,0,301,0,0,0,55,115,231,0,46,23,0,255,0
32,,,,346,30,71,20,21,47,8,1364,317,30,233,-0.0274,323.23900000000015,43.16999999999998,48,18,64,17,0,2271,148,1977,20,63,8,625,0,0,73,3,0,0,0,314,0,0,0,176,0,0,308,0,0,0,56,135,204,0,39,24,0,222,0
30,,,,452,24,66,11,17,54,9,1609,359,63,313,-0.0042,475.91899999999987,24.679999999999957,40,15,76,18,0,2712,103,2193,21,65,5,719,0,0,96,7,0,0,0,223,0,0,0,239,0,0,380,0,0,0,63,145,271,0,59,18,0,446,0
11,,,,411,37,93,17,19,62,5,1877,357,35,277,0.0072,546.4209999999997,-58.08900000000008,60,10,91,13,0,2879,164,2604,29,84,4,967,0,0,86,3,0,0,0,390,0,0,0,216,0,0,362,0,0,0,66,186,246,0,40,36,0,254,0
29,,,,388,22,72,17,21,57,12,1708,303,49,279,0.0325,543.7029999999995,38.21200000000001,46,18,75,18,0,2378,140,2031,24,69,8,748,0,0,72,0,0,0,0,291,0,0,0,198,0,0,304,0,0,0,60,142,260,0,53,17,0,290,0
27,,,,368,31,75,15,15,39,5,1162,285,40,252,0.0064,453.26500000000004,20.415999999999993,41,16,78,21,0,1914,105,1870,18,59,3,626,0,0,88,3,0,0,0,223,0,0,0,177,0,0,321,0,0,0,40,152,218,0,42,11,0,327,0
22,,,,360,31,81,16,19,49,3,1459,298,48,233,-0.015,366.96700000000016,46.75100000000002,46,14,78,15,0,2125,119,2233,24,79,2,760,0,0,78,1,0,0,0,305,0,0,0,184,0,0,335,0,0,0,58,149,198,0,34,30,0,258,0
