grades_offense,twp_rate,btt_rate,spikes,dropbacks,thrown_aways,draft_season,team_name,grades_pass,hit_as_threw,first_downs,jersey_number,sack_percent,bats,sacks,player_game_count,eligible_season,completions,yards,accuracy_percent,scrambles,interceptions,drop_rate,grades_run,qb_rating,completion_percent,penalties,attempts,team,declined_penalties,passing_snaps,pressure_to_sack_rate,ypa,drops,position,grades_hands_fumble,avg_time_to_throw,big_time_throws,player,positive_epa_percent,franchise_id,avg_depth_of_target,turnover_worthy_plays,epa,aimed_passes,player_id,touchdowns,def_gen_pressures
92,3.3,7.7,4,755,26,2009,LA,91.7,8,285,09,3.8,6,29,20,2009,454,5643,72.3,9,9,6.6,37.4,106.7,63.4,5,716,LA,0,797,12.1,7.9,32,QB,62.9,2.73,58,Matthew Stafford,52.2,26,9.8,26,0.2,672,4924,52,240
76.9,3.1,5.4,2,737,44,2024,CHI,72.2,3,240,18,3.4,17,25,19,2024,377,4560,69.4,49,12,8.3,82.1,86.8,57.3,10,658,CHI,0,780,9.6,6.9,34,QB,66,3.23,37,Caleb Williams,45.9,6,9.2,24,0.05,592,144622,31,261
77.1,2.9,5,1,730,33,2024,DEN,76.1,7,221,10,3,16,22,18,2024,414,4210,75.5,38,12,8.8,65.3,87.8,62.9,9,658,DEN,1,771,9.5,6.4,40,QB,73.1,2.83,35,Bo Nix,46.2,10,8,22,0.09,601,97790,28,232
80.7,3.3,4.9,0,755,24,2024,NE,76.6,6,271,10,9,8,68,21,2024,424,5222,77,74,12,4.1,79.7,107.4,69.3,2,612,NE,0,797,23.9,8.5,18,QB,29.5,3.08,32,Drake Maye,51.8,19,9.7,26,0.18,574,143969,37,284
86.9,2.7,4.8,3,659,14,2016,DAL,85.4,6,230,04,4.7,13,31,17,2016,404,4552,76.6,26,10,6.5,61.3,99.5,67.3,5,600,DAL,0,712,13.3,7.6,28,QB,66.9,2.78,31,Dak Prescott,50.2,9,8.6,19,0.15,564,10769,30,233
83.7,3.3,4.8,3,682,13,2021,JAX,80.5,11,225,16,6.2,20,42,18,2021,359,4214,73.5,44,14,10,77.4,90.7,60.8,9,590,JAX,0,725,16.4,7.1,40,QB,70.6,2.9,30,Trevor Lawrence,47.5,15,9.5,24,0.05,543,77632,32,256
77.7,2,2.7,2,623,36,2016,DET,76.8,10,225,16,6.1,16,38,17,2016,393,4564,80.2,5,8,4.6,52.6,105.5,68,5,578,DET,0,648,17,7.9,19,QB,69.6,2.57,16,Jared Goff,48.3,11,7,13,0.14,514,10635,34,224
79,3.2,5.7,4,625,29,2018,SEA,79.9,7,223,14,5.3,16,33,20,2018,379,4720,77.1,16,14,4.1,41.6,99.6,66.7,5,568,SEA,0,660,14.9,8.3,16,QB,38.9,2.74,34,Sam Darnold,49.4,29,8.9,21,0.09,512,29048,30,222
70,4.1,4.8,1,630,13,2018,TB,64.8,8,198,06,5.7,9,36,17,2018,343,3693,71.9,43,11,6.8,86.8,90.6,63.2,5,543,TB,0,680,16.2,6.8,25,QB,41.4,2.89,28,Baker Mayfield,45.1,30,8.6,28,-0.02,512,46518,26,222
78,2.6,3.9,0,660,21,2020,LAC,73,11,206,10,9.1,7,60,17,2020,359,3886,76,56,13,6.3,82.7,93,66.1,5,543,LAC,0,691,20.8,7.2,24,QB,56.1,2.96,22,Justin Herbert,49.7,27,8.3,18,0.03,504,28237,26,288
58.4,3.5,3.7,3,623,37,2025,TEN,56.4,6,163,01,8.8,9,55,17,2025,323,3169,70.7,24,7,5.8,70.1,80.2,59.8,3,540,TEN,0,662,23.9,5.9,20,QB,30,2.98,21,Cam Ward,38,31,7.8,23,-0.21,485,133244,15,230
90.5,2.4,5.1,1,642,13,2018,BUF,84,4,223,17,6.9,6,44,18,2018,372,4224,78.2,59,12,6.8,90.8,101.8,69.7,5,534,BUF,0,677,18.6,7.9,27,QB,70,2.99,29,Josh Allen,49.4,4,7.8,16,0.15,510,46601,29,237
68,2.6,4.8,2,579,26,2005,PIT,68.8,7,153,08,5.7,9,33,17,2005,344,3468,75.2,12,8,6,42.7,92.1,64.8,6,531,PIT,0,612,21.4,6.5,22,QB,52.9,2.58,27,Aaron Rodgers,42.5,25,6.6,16,-0.06,487,2241,24,154
71,2.7,4.5,2,586,43,2023,CAR,68.2,9,181,09,4.9,10,29,17,2023,325,3275,76.7,35,12,6.6,72.6,86.5,62.7,6,518,CAR,1,626,13.2,6.3,23,QB,56.5,2.84,25,Bryce Young,44.5,5,7.2,17,-0.09,454,123943,24,220
76,3.1,4.3,2,594,26,2017,KC,70.7,4,197,15,5.7,9,34,14,2017,315,3587,73.3,53,11,6.8,86.7,89.6,62.7,5,502,KC,0,636,16.6,7.1,23,QB,70.2,2.93,23,Patrick Mahomes,50,16,8.3,20,0.12,461,11765,22,205
65,3.8,3.3,3,559,23,2023,HST,62,8,167,07,5.2,7,29,16,2023,314,3503,69.4,28,13,1.9,73.2,86.4,62.5,4,502,HST,0,604,13.9,7,6,QB,60.7,2.81,18,C.J. Stroud,44.5,13,8.6,23,0.03,461,129759,21,209
79,2,4.8,2,569,29,2020,PHI,76.7,7,172,01,5.8,6,33,17,2020,314,3392,74.2,40,6,4.8,71.6,97.1,64.2,5,489,PHI,0,602,16.3,6.9,16,QB,61.2,3.05,25,Jalen Hurts,44.5,24,9.2,12,0.05,445,40291,26,202
88.8,2.6,5.9,1,542,33,2020,GB,88.7,9,185,10,4.1,6,22,16,2020,315,3704,76.8,25,6,6,54.5,101.4,64.9,5,485,GB,0,572,10.5,7.6,20,QB,62.9,2.82,30,Jordan Love,50.9,12,9.4,15,0.2,436,40306,27,209
71.1,2.8,3.3,1,550,31,2016,ARZ,69.1,7,173,07,7.8,3,43,13,2016,315,3366,74.7,22,8,4.8,68.9,94.1,64.9,3,485,ARZ,0,581,19.1,6.9,16,QB,52.2,2.97,17,Jacoby Brissett,45.6,1,8.1,16,-0.01,443,10725,23,225
60.9,4.1,3,2,524,16,2013,LV,58.2,7,154,07,10.5,8,55,15,2013,302,3025,76.9,18,17,5.3,70.3,84.7,67.4,4,448,LV,0,557,25.9,6.8,17,QB,67.4,2.79,14,Geno Smith,43.7,23,6.9,23,-0.14,415,7820,19,212
68,3.2,3.6,4,438,26,2008,CIN,66.8,7,118,16,4.1,5,18,12,2008,251,2479,73,4,10,8.1,76.1,79.2,60.3,8,416,CIN,1,466,12.2,6,22,QB,60.2,2.6,16,Joe Flacco,40.9,7,7.6,15,-0.17,374,4332,15,148
71.7,3.9,3.1,2,429,8,2019,IND,68.7,5,157,17,5.1,7,22,13,2019,261,3101,76.2,23,8,5.4,73.7,100.2,68,5,384,IND,0,460,14.6,8.1,15,QB,50.5,2.76,13,Daniel Jones,51.5,14,8.6,18,0.14,362,39395,19,151
62.1,5.4,4.4,2,440,15,2020,MIA,65.8,1,143,01,6.8,4,30,14,2020,260,2660,76.5,12,15,6.1,27,88.5,67.7,4,384,MIA,0,465,22.9,6.9,17,QB,45.4,2.55,18,Tua Tagovailoa,43.4,17,7.2,25,-0.03,362,60326,20,131
85.4,3.7,4.2,0,384,22,2022,SF,82.6,7,160,13,3.6,3,14,11,2022,230,2569,78.7,25,13,5.7,75.7,95,67.3,3,342,SF,1,404,9,7.5,14,QB,65.8,3.22,15,Brock Purdy,50.8,28,8.1,15,0.08,310,77672,22,156
67.9,3.4,5.2,1,413,12,2025,NYG,64.2,5,121,06,8.5,8,35,13,2025,216,2272,74.4,38,5,7.3,76.9,91.7,63.7,9,339,NYG,1,447,23,6.7,17,QB,51.4,3.07,19,Jaxson Dart,44.8,21,8.8,15,-0.01,313,146409,15,152
74.6,2,3.8,3,378,9,2025,NO,73.1,3,113,06,8.2,6,31,11,2025,221,2384,76.5,20,6,5.6,64.8,91.3,67.6,0,327,NO,0,397,25,7.3,13,QB,86.6,2.7,13,Tyler Shough,43.9,20,8.7,8,0,306,83537,10,124
74,3.1,2.8,2,368,11,2018,BLT,69,5,122,08,9.8,8,36,13,2018,192,2549,74.3,30,7,6.3,78.6,103.8,63.6,4,302,BLT,0,393,23.1,8.4,13,QB,45.5,3.16,9,Lamar Jackson,48.1,3,9.7,12,0.03,276,46416,21,156
76.7,3,2.6,3,321,9,2021,SF,75.4,4,110,10,5.3,7,17,9,2021,203,2155,79.6,9,6,5.6,66.9,96.7,69.3,3,293,SF,0,334,17.7,7.4,12,QB,72.4,2.66,8,Mac Jones,50.8,28,7.7,10,0.07,270,60323,13,96
59.3,3.4,2.7,0,303,17,2024,ATL,58,9,104,09,4.3,3,13,9,2024,166,1982,71.3,13,3,5.7,66.2,88.5,60.1,7,276,ATL,0,325,12.3,7.2,10,QB,73.1,2.82,8,Michael Penix Jr.,47.2,2,8.8,11,0.01,247,82134,9,106
76,1.7,3.2,3,289,12,2012,ATL,75,3,87,18,4.5,2,13,10,2012,166,1721,72.3,2,5,7.8,66.3,84.8,61.7,5,269,ATL,0,302,12.6,6.4,14,QB,68.4,2.57,9,Kirk Cousins,43.6,2,7.4,5,-0.06,249,7102,10,103
91.8,0.7,6.6,0,288,10,2020,CIN,91.3,3,101,09,5.9,3,17,8,2020,173,1809,75.3,9,5,5.5,59,100.7,66.8,4,259,CIN,0,303,19.8,7,10,QB,90.7,2.76,18,Joe Burrow,49.3,7,8.1,2,0.06,243,28022,17,86
70,5.4,4,3,292,9,2024,NO,66.1,1,83,02,6.2,2,18,9,2024,174,1586,75.6,15,5,4.9,76.9,86.5,67.7,3,257,NO,0,314,16.2,6.2,9,QB,44.8,2.63,11,Spencer Rattler,47.3,20,8.3,17,-0.12,242,97408,8,111
61.8,4.8,7.3,0,291,5,2024,MIN,60.1,6,88,09,9.3,11,27,10,2024,140,1632,71,17,12,10.8,71.6,72.6,57.6,6,243,MIN,0,310,23.5,6.7,17,QB,28.3,3.01,19,J.J. McCarthy,43.6,18,9.5,15,-0.15,221,144918,11,115
71.4,4.2,6.9,2,262,13,2015,WAS,72.3,1,85,08,6.1,3,16,10,2015,139,1695,70.7,18,7,5.4,55.8,86.1,61.2,4,227,WAS,0,285,18.2,7.5,8,QB,29.6,2.9,17,Marcus Mariota,47.3,32,10.6,12,-0.02,208,9435,10,88
44.1,5.7,4.5,0,255,17,2025,CLV,42.3,9,60,12,9,4,23,8,2025,120,1400,69.8,18,10,5.5,67.9,68.1,56.6,7,212,CLV,0,265,17.6,6.6,7,QB,48.7,3.3,10,Shedeur Sanders,36.5,8,7.7,15,-0.28,182,131396,7,131
67.3,2.5,2.8,2,260,8,2021,NYJ,65.5,5,67,07,10.4,10,27,9,2021,128,1259,76.5,28,1,6.6,65.8,89.5,62.7,3,204,NYJ,0,276,23.3,6.2,9,QB,44.4,3.09,6,Justin Fields,42.7,22,7.2,7,-0.13,179,82118,7,116
74.9,3,4.9,2,244,13,2024,WAS,73.8,0,69,05,7.4,5,18,7,2024,114,1262,76.2,38,3,10.9,65.6,88.1,60.6,3,188,WAS,0,266,18.6,6.7,14,QB,52.1,3.06,10,Jayden Daniels,46.7,32,7.8,8,-0.01,168,97993,8,97
49,4.3,1.5,1,217,5,2025,CLV,49.6,3,49,08,8.8,4,19,10,2025,110,937,69.2,11,2,7.6,58.8,80.8,59.5,5,185,CLV,0,232,21.6,5.1,9,QB,90.2,2.75,3,Dillon Gabriel,34.6,8,6.4,10,-0.21,172,86272,7,88
50.4,3.8,1.7,1,199,7,2016,MIN,50,2,61,11,9.5,2,19,5,2016,110,1216,72.6,9,5,3.5,62.7,85.8,65.1,3,169,MIN,0,210,24.4,7.2,4,QB,43.4,2.66,3,Carson Wentz,46.7,18,8.4,8,-0.02,157,10636,6,78
72.2,1.4,2.3,0,195,5,2019,ARZ,69.5,1,59,01,8.2,7,16,5,2019,110,962,78.4,17,3,5.2,71.4,88.6,68.3,4,161,ARZ,0,211,23.9,6,6,QB,90.2,2.91,4,Kyler Murray,46.2,1,6.4,3,0.06,148,38334,6,67
64,4.4,4.2,0,174,7,2021,HST,67.6,3,50,10,4.6,1,8,6,2021,91,915,68.2,7,1,9.9,43.6,81.6,57.2,3,159,HST,0,183,14.8,5.8,10,QB,57.9,2.55,7,Davis Mills,42.5,13,9.1,8,-0.11,148,52269,5,54
32.4,7.1,0.6,0,179,5,2025,NYJ,32.7,1,36,04,10.6,5,19,5,2025,88,739,69,7,7,10.2,50.4,55.4,57.5,1,153,NYJ,0,184,38.8,4.8,10,QB,39.2,2.71,1,Brady Cook,31.8,22,5.9,13,-0.49,142,124199,2,49
60.7,3.9,1.4,1,170,6,2011,NYJ,58.2,1,50,02,8.2,6,14,6,2011,80,779,75,22,5,11.1,65.9,72.9,59.7,2,134,NYJ,0,178,19.7,5.8,10,QB,89.4,3.24,2,Tyrod Taylor,42.9,22,9.3,7,-0.12,120,6332,5,71
51.9,6,3.7,0,138,6,2019,CIN,51.5,0,35,06,6.5,2,9,5,2019,81,771,70.1,4,8,1.2,62.2,71.1,64.8,3,125,CIN,1,150,16.1,6.2,1,QB,67.2,2.8,5,Jake Browning,37,7,8,9,-0.38,117,46401,6,56
63.3,4.6,6.2,0,141,14,2012,NYG,63.5,4,36,03,7.1,3,10,6,2012,69,831,75.5,12,3,6.8,56.5,77.4,58,4,119,NYG,2,152,18.2,7,5,QB,27.9,2.76,8,Russell Wilson,41.1,21,9.7,7,-0.17,98,7077,3,55
51,4.9,3.1,0,97,3,2004,IND,50.5,0,30,17,5.2,2,5,3,2004,58,544,67.8,0,3,1.7,59.6,80.2,63,2,92,IND,0,102,18.5,5.9,1,QB,55.4,2.35,3,Philip Rivers,46.4,14,8.3,5,-0.18,87,1725,4,27
39.7,5,2.3,0,98,2,2025,MIA,40.5,0,30,14,8.2,1,8,4,2025,55,622,70,3,3,1.8,55.1,85.5,66.3,2,83,MIA,0,101,25.8,7.5,1,QB,29.5,2.57,2,Quinn Ewers,41.8,17,8.8,5,-0.04,80,127253,3,31
28,6.5,2.6,0,87,2,2025,MIN,27.4,2,19,12,16.1,0,14,6,2025,47,328,74.6,2,4,6,62.3,53,66.2,0,71,MIN,0,93,41.2,4.6,3,QB,27.7,2.72,2,Max Brosmer,33.3,18,4.3,6,-0.67,67,105568,0,34
79.1,1.2,1.4,1,82,1,2020,BLT,68.8,0,24,05,9.8,1,8,4,2020,52,426,84.4,7,0,3.7,86.5,103.1,77.6,1,67,BLT,0,85,21.6,6.4,2,QB,85.6,2.73,1,Tyler Huntley,48.8,3,6.2,1,0.06,64,46448,2,37
65.5,7.6,8.2,0,73,3,2025,IND,61.8,1,21,15,2.7,1,2,5,2025,39,415,67.7,3,3,7.1,74,67.7,58.2,0,67,IND,0,79,7.1,6.2,3,QB,49,2.73,6,Riley Leonard,34.2,14,9.2,6,-0.18,62,143862,2,28
74,6.6,6.9,0,70,4,2015,NYG,66.3,1,26,19,4.3,1,3,3,2015,37,567,65,1,2,5.1,72.2,82.1,56.1,1,66,NYG,0,76,11.5,8.6,2,QB,83.8,2.9,5,Jameis Winston,45.7,21,10.1,5,0.34,60,9434,2,26
36,5.6,1.7,4,70,2,2021,LAC,31.3,3,13,05,8.6,0,6,4,2021,27,226,60.4,7,1,6.9,66.5,50.8,47.4,1,57,LAC,0,72,23.1,4,2,QB,50.7,2.77,1,Trey Lance,30,27,9.8,4,-0.54,48,91399,0,26
41.4,7,0,1,67,2,2022,KC,45.4,1,10,19,11.9,3,8,3,2022,35,235,79.2,4,0,7.9,39.5,79,63.6,1,55,KC,0,71,30.8,4.3,3,QB,18.6,3.12,0,Chris Oladokun,29.9,16,5,5,-0.5,48,40364,1,26
52.9,2.8,0,2,64,3,2008,WAS,55.4,1,25,14,3.1,0,2,3,2008,34,372,70.8,8,2,0,47.3,74,63,0,54,WAS,0,72,9.1,6.9,0,QB,26.6,2.91,0,Josh Johnson,51.6,32,6.5,2,0.06,48,4474,1,22
52.8,6.6,0,0,57,3,2018,PIT,50.5,0,18,02,3.5,2,2,5,2018,39,312,81.3,1,2,0,69.1,84.8,73.6,1,53,PIT,0,61,20,5.9,0,QB,42.8,2.68,0,Mason Rudolph,50.9,25,5,4,0.04,48,46569,2,10
59.3,5.3,1.9,0,53,1,2017,BLT,59.8,2,13,15,1.9,0,1,3,2017,34,303,73.5,0,4,5.6,52.9,48.8,65.4,0,52,BLT,0,57,5.6,5.8,2,QB,81.7,2.57,1,Cooper Rush,39.6,3,6.5,3,-0.49,49,12324,0,18
48.4,5.2,2.2,1,56,0,2022,LV,47.3,1,11,15,14.3,1,8,6,2022,28,188,76.2,3,2,12.5,60.4,60.2,62.2,0,45,LV,0,58,36.4,4.2,4,QB,39.2,2.85,1,Kenny Pickett,26.8,23,6.1,3,-0.53,42,60515,1,22
61.2,2,0,0,49,6,2023,PHI,60.7,1,17,16,6.1,0,3,2,2023,24,274,72.2,3,1,7.7,58.8,73.2,55.8,0,43,PHI,0,50,15,6.4,2,QB,81.2,2.94,0,Tanner McKee,49,24,9.7,1,-0.18,36,131770,1,20
55,8,2.6,0,48,2,2011,CAR,59.6,0,17,14,16.7,0,8,3,2011,25,293,71.4,1,1,0,35.1,89.1,67.6,0,37,CAR,0,50,44.4,7.9,0,QB,23.8,2.53,1,Andy Dalton,50,5,9.5,4,-0.22,35,6187,1,18
92.3,0,8.3,0,47,0,2022,GB,90.8,1,23,02,6.4,0,3,4,2022,30,422,94.1,9,0,6.3,80.3,145.5,85.7,0,35,GB,0,49,13,12.1,2,QB,42,3.32,3,Malik Willis,70.2,12,9.7,0,0.68,34,60341,3,23
79.8,2.6,5.4,0,37,1,2017,BUF,77.7,0,19,11,0,0,0,4,2017,25,313,79.4,2,0,7.4,66.6,137,71.4,0,35,BUF,0,39,0,8.9,2,QB,80.3,2.81,2,Mitch Trubisky,62.2,4,7.7,1,0.73,34,11757,4,3
45.9,5.4,3.2,0,37,3,2019,DEN,46.7,1,8,08,8.1,0,3,1,2019,17,133,74.1,3,1,15,53.6,63,54.8,0,31,DEN,0,37,15.8,4.3,3,QB,26.2,3.15,1,Jarrett Stidham,29.7,10,6.5,2,-0.59,27,13725,1,19
36.4,9.4,3.2,0,31,0,2016,TEN,37.1,1,3,10,3.2,1,1,1,2016,17,72,64.3,0,1,5.6,,47.9,56.7,0,30,TEN,0,32,7.7,2.4,1,QB,77.7,2.55,1,Brandon Allen,16.1,31,3.4,3,-0.89,28,10835,0,13
52.7,6.7,3.7,0,27,2,2024,DAL,52.7,0,9,10,0,1,0,4,2024,15,183,71.4,3,2,0,57.4,65.1,62.5,0,24,DAL,0,30,0,7.6,0,QB,26.6,2.93,1,Joe Milton III,48.1,9,10.1,2,-0.28,21,82151,1,9
65.7,0,4.3,0,24,2,2023,LV,66.9,1,5,12,4.2,0,1,1,2023,10,102,57.9,1,0,9.1,55.7,59.3,45.5,0,22,LV,0,25,12.5,4.6,1,QB,76.3,2.58,1,Aidan O'Connell,33.3,23,9.3,0,-0.41,19,60516,0,8
43.8,0,0,0,18,1,2014,TB,44,0,2,10,11.1,0,2,1,2014,8,62,57.1,1,0,0,57.5,63.8,53.3,0,15,TB,0,20,28.6,4.1,0,QB,75.8,2.57,0,Teddy Bridgewater,11.1,30,6.4,0,-0.73,14,8667,0,7
37.7,4.3,0,0,22,1,2023,GB,29.5,0,3,06,22.7,1,5,2,2023,7,42,69.2,2,1,22.2,65.1,25.7,46.7,0,15,GB,0,23,45.5,2.8,2,QB,76.6,3.04,0,Clayton Tune,31.8,12,3.6,1,-0.87,13,77652,0,11
51.2,5,7.1,0,20,1,2021,KC,54.2,0,4,17,25,2,5,1,2021,7,88,63.6,1,0,0,55.3,69.9,50,0,14,KC,0,20,50,6.3,0,QB,75.1,3.08,1,Shane Buechele,20,16,11.5,1,-0.32,11,12659,0,10
33.4,6.7,0,0,14,2,2019,KC,33.6,0,2,17,0,2,0,2,2019,6,37,66.7,1,1,0,58.3,21,46.2,1,13,KC,0,15,0,2.8,0,QB,75.7,2.76,0,Gardner Minshew,28.6,16,4.4,1,-0.54,9,41401,0,3
49.1,0,0,0,12,1,2021,MIA,49.1,1,3,00,0,1,0,3,2021,6,32,75,1,0,0,57.9,60,54.5,0,11,MIA,0,12,0,2.9,0,QB,73.5,2.34,0,Zach Wilson,33.3,17,5.6,0,-0.33,8,82096,0,4
64,0,9.1,0,11,0,2017,NE,66.5,0,3,11,0,0,0,4,2017,7,65,70,1,0,0,56.1,87.5,70,0,10,NE,0,12,0,6.5,0,QB,76.3,3.25,1,Joshua Dobbs,27.3,19,10.8,0,-0.25,10,11890,0,2
53.4,0,0,0,6,2,2017,NO,70.7,0,2,07,0,1,0,5,2017,2,57,66.7,0,0,0,54.5,109,33.3,2,6,NO,0,6,0,9.5,0,TE,30,2.5,0,Taysom Hill,33.3,20,17.3,0,-0.47,3,12112,1,1
60.3,0,0,0,5,0,2023,CHI,62.3,0,2,17,0,0,0,2,2023,3,47,75,1,0,0,58.3,113.5,75,0,4,CHI,0,5,0,11.8,0,QB,68,3.4,0,Tyson Bagent,60,6,7.8,0,0.6,4,169628,0,1
70.6,0,0,0,3,0,2017,JAX,71.2,0,2,14,0,0,0,2,2017,3,19,100,0,0,0,62.8,93.1,100,0,3,JAX,0,3,,6.3,0,QB,75.1,1.7,0,Nick Mullens,66.7,15,1,0,0.51,3,12282,0,0
27.9,33.3,0,0,3,0,2019,SEA,43.5,0,1,02,0,0,0,1,2019,2,15,66.7,0,0,0,29.4,78.5,66.7,0,3,SEA,0,3,0,5,0,QB,14.2,2.67,0,Drew Lock,33.3,29,1.3,1,-0.3,3,39517,0,1
72.4,0,0,0,2,0,2023,IND,65.9,0,1,05,0,0,0,1,2023,1,9,50,0,0,0,66.7,62.5,50,0,2,IND,0,2,,4.5,0,QB,70.1,2,0,Anthony Richardson,50,14,18.5,0,-0.58,2,124393,0,0
58.8,0,0,0,2,0,2024,ARZ,58.7,0,0,19,0,0,0,2,2024,1,-2,100,0,0,50,,56.3,50,0,2,ARZ,0,2,0,-1,1,QB,63.6,2.25,0,Kedon Slovis,0,1,1.5,0,-1.26,2,100580,0,1
75.3,0,0,0,4,0,2019,DET,62.4,0,1,05,25,0,1,4,2019,1,3,50,0,0,0,72.5,95.8,50,0,2,DET,0,5,50,1.5,0,HB,77,2.45,0,David Montgomery,25,11,7.5,0,-0.96,2,45719,1,2
73.7,0,0,0,2,0,2018,DET,73,0,0,08,0,0,0,1,2018,0,0,50,0,0,100,60.5,39.6,0,0,2,DET,0,2,,0,1,QB,69.1,2.25,0,Kyle Allen,0,11,6,0,-0.78,2,26152,0,0
76.7,0,0,0,2,0,2019,NYG,58.5,0,1,80,0,0,0,2,2019,1,33,50,0,0,0,,135.4,50,1,2,NYG,0,2,0,16.5,0,WR,61.9,4.35,0,Gunner Olszewski,50,21,13.5,0,1.36,2,95015,1,1
73.1,100,0,0,1,0,2017,SEA,45.5,0,0,10,0,0,0,1,2017,0,0,0,0,1,,,0,0,1,1,SEA,0,1,0,0,0,WR,44.8,3.6,0,Cooper Kupp,0,29,7,1,-5.12,1,11824,0,1
77.2,0,0,0,1,1,2017,SF,60,0,0,23,0,0,0,1,2017,0,0,,0,0,,66.3,39.6,0,0,1,SF,0,1,0,0,0,HB,83.5,3.3,0,Christian McCaffrey,0,28,,0,-0.54,0,11763,0,1
61.4,0,0,0,1,0,2024,NYJ,56.3,0,0,18,0,0,0,1,2024,0,0,0,0,0,,63.7,39.6,0,1,1,NYJ,0,1,,0,0,WR,67.6,3.6,0,Isaiah Williams,0,22,7,0,-0.55,1,97156,0,0
67.6,0,0,0,1,1,2025,IND,60,0,0,84,0,0,0,1,2025,0,0,,0,0,,45.1,39.6,0,4,1,IND,1,1,0,0,0,TE,54.3,4.3,0,Tyler Warren,0,14,,0,-0.32,0,129798,0,1
62.9,0,0,0,2,0,2020,CHI,70.7,0,0,85,0,0,0,2,2020,0,0,0,1,0,,56.3,39.6,0,3,1,CHI,0,2,,0,0,TE,77.6,5.6,0,Cole Kmet,0,6,13,0,-0.49,1,60995,0,0
80.4,0,0,0,1,0,2016,BLT,48.9,0,0,22,0,0,0,1,2016,0,0,0,0,0,,79.4,39.6,0,1,1,BLT,0,1,0,0,0,HB,56.9,3.2,0,Derrick Henry,0,3,14,0,-0.32,1,10679,0,1
70.5,0,0,0,1,0,2025,NE,49.8,0,0,86,0,0,0,1,2025,0,0,0,0,0,,,39.6,0,0,1,NE,0,1,,0,0,WR,80.8,4.5,0,Efton Chism III,0,19,11,0,-1.42,1,141521,0,0
60,100,0,0,1,1,2018,CLV,60,0,0,13,0,0,0,1,2018,0,0,,0,0,,,39.6,0,0,1,CLV,0,1,0,0,0,P,,3.4,0,Corey Bojorquez,0,8,,1,0,0,27626,0,1
57.8,0,0,0,1,0,2020,SEA,70.7,0,1,30,0,0,0,1,2020,1,32,100,0,0,0,64.6,158.3,100,0,1,SEA,0,1,,32,0,HB,72.5,2.3,0,Cam Akers,100,29,15,0,3.22,1,57206,1,0
67.8,0,0,0,1,0,2018,CHI,68.9,0,1,02,0,0,0,1,2018,1,2,100,0,0,0,69.8,118.8,100,8,1,CHI,0,1,0,2,0,WR,82.5,4.2,0,DJ Moore,100,6,3,0,2.72,1,48267,1,1
67.1,0,0,0,1,0,2020,SF,71,0,1,15,0,0,0,1,2020,1,29,100,0,0,0,,158.3,100,4,1,SF,0,1,0,29,0,WR,43.6,4.4,0,Jauan Jennings,100,28,26,0,3.11,1,48027,1,1
84,0,0,0,1,0,2021,MIA,60.3,0,0,17,0,0,0,1,2021,1,8,100,0,0,0,68.1,100,100,2,1,MIA,2,1,,8,0,WR,48,3.2,0,Jaylen Waddle,0,17,-4,0,-1.41,1,84088,0,0
72.9,0,0,0,1,0,2017,IND,68.8,0,1,08,0,0,0,1,2017,1,16,100,0,0,0,,118.8,100,0,1,IND,0,1,,16,0,P,60.4,1.8,0,Rigoberto Sanchez,100,14,11,0,1.63,1,12130,0,0
83.5,0,0,0,1,0,2022,NYJ,55.1,0,1,20,0,0,0,1,2022,1,4,100,0,0,0,83.7,122.9,100,1,1,NYJ,0,1,,4,0,HB,73.3,4.2,0,Breece Hall,100,22,12,0,1.47,1,97636,1,0
73.1,0,0,0,1,0,2017,ARZ,68.8,0,1,39,0,0,0,1,2017,1,28,100,0,0,0,,118.8,100,0,1,ARZ,0,1,,28,0,P,60.4,2.2,0,Matt Haack,100,1,19,0,5.88,1,12212,0,0
69.5,0,0,0,1,0,2024,NYJ,66.9,0,1,14,0,0,0,1,2024,1,3,100,0,0,0,,79.2,100,0,1,NYJ,0,1,,3,0,P,60.4,2.9,0,Austin McNamara,100,22,3,0,2.89,1,99363,0,0
68.4,100,0,0,1,0,2025,DEN,59,0,0,12,0,0,0,1,2025,0,0,0,0,0,,69.6,39.6,0,1,1,DEN,0,1,,0,0,HB,81,3.4,0,RJ Harvey,0,10,2,1,-0.33,1,99622,0,0
78,100,0,0,1,0,2022,NO,53.5,0,0,12,0,0,0,1,2022,0,0,0,0,1,,,0,0,7,1,NO,3,1,,0,0,WR,83.7,2.4,0,Chris Olave,0,20,4,1,-3.53,1,84355,0,0
