targets,grades_pass_block,grades_offense,yards_after_catch_per_reception,grades_pass_route,draft_season,team_name,yprr,wide_snaps,fumbles,first_downs,jersey_number,inline_snaps,contested_targets,player_game_count,eligible_season,inline_rate,contested_catch_rate,yards,receptions,targeted_qb_rating,interceptions,caught_percent,drop_rate,grades_hands_drop,slot_rate,slot_snaps,penalties,wide_rate,pass_block_rate,team,declined_penalties,route_rate,drops,position,grades_hands_fumble,longest,pass_blocks,routes,pass_plays,yards_per_reception,player,positive_epa_percent,franchise_id,contested_receptions,yards_after_catch,avg_depth_of_target,epa,avoided_tackles,player_id,touchdowns
72,,68.4,2.9,67.6,2024,ARZ,1.58,316,0,30,18,0,19,12,2024,0,47.4,608,41,91.7,2,56.9,10.9,47.7,23.3,96,0,76.7,0,ARZ,0,93.2,5,WR,78.3,45,0,384,412,14.8,Marvin Harrison Jr.,47.4,1,9,118,13.9,0.03,3,145056,4
71,,59.7,2.6,59.9,2024,NYJ,1.46,264,1,15,15,0,10,16,2024,0,50,453,33,47.4,5,46.5,15.4,35.1,18.3,59,1,81.7,0,NYJ,0,96,6,WR,26.3,75,0,310,323,13.7,Adonai Mitchell,40.3,22,5,87,15.2,-0.27,2,146712,2
71,49.7,75.4,7.3,77.2,2020,LA,1.8,64,2,31,84,298,11,18,2020,72.3,36.4,560,51,122.7,2,71.8,12.1,45.6,11.7,48,3,15.5,20.9,LA,1,75.5,7,TE,38.4,40,86,311,412,11,Colby Parkinson,54.3,26,4,373,5.5,0.26,6,52266,9
71,67.3,74.6,5.3,72.7,2024,SEA,1.35,27,3,31,88,444,9,20,2024,80.3,66.7,586,58,122.2,2,81.7,3.3,82.8,12.7,70,6,4.9,16.8,SEA,1,78.5,2,TE,23.3,61,93,434,553,10.1,AJ Barner,49.1,29,6,307,5.4,0.09,7,129433,7
71,70.7,64.1,4.5,71.1,2025,LAC,1.65,67,1,30,86,185,12,16,2025,39.8,66.7,694,52,100.3,3,73.2,10.3,53.5,44.7,208,2,14.4,4.9,LAC,0,90.5,6,TE,38.8,53,23,421,465,13.3,Oronde Gadsden II,49.7,27,8,233,9.2,-0.03,3,144046,3
71,74.2,63.6,4,62.3,2023,HST,1.05,400,0,22,19,1,12,19,2023,0.2,25,493,41,63.9,5,57.7,4.7,75,21.4,109,3,78.4,1,HST,1,92.4,2,WR,78.8,33,5,471,510,12,Xavier Hutchinson,46.2,13,3,164,10.8,0.01,3,122518,3
70,,52.5,2.3,52.4,2020,ATL,0.97,305,2,25,01,0,10,15,2020,0,20,443,32,71.3,0,45.7,15.8,33.8,37.2,181,0,62.8,0,ATL,0,94.4,6,WR,20.8,49,0,459,486,13.8,Darnell Mooney,43.8,2,2,73,14.4,-0.08,2,48236,1
68,72.2,90.7,4.5,91,2017,SF,2.11,24,0,38,85,210,14,12,2017,61.9,78.6,634,58,139.8,0,85.3,3.3,82.4,28.3,96,1,7.1,8.8,SF,1,88.5,2,TE,80.3,33,30,300,339,10.9,George Kittle,49.2,28,11,261,7.1,0.09,5,11901,7
68,34.1,70.4,8.4,66.7,2025,LV,0.96,19,1,13,02,1,4,17,2025,0.2,0,346,55,100.1,2,80.9,6.8,67.1,2.8,13,2,4.1,18.9,LV,1,77,4,HB,66.8,60,88,359,466,6.3,Ashton Jeanty,42.3,23,0,461,-1.6,-0.19,23,157196,5
68,53.8,68.4,7.8,69.3,2025,DEN,1.39,33,0,21,12,3,1,19,2025,0.8,0,424,56,117.2,0,82.4,8.2,62.2,7.2,26,1,9.2,11.1,DEN,0,84.7,5,HB,81,32,40,304,359,7.6,RJ Harvey,48,10,0,439,0.8,0.15,17,99622,5
67,76.5,55.7,3.7,56.3,2019,CHI,0.92,190,0,16,14,0,11,18,2019,0,72.7,330,41,82.3,1,61.2,12.8,35.9,50.6,195,1,49.4,1.3,CHI,0,92.7,6,WR,79,27,5,357,385,8,Olamide Zaccheaus,44.5,6,8,151,7.6,0.09,3,44920,3
65,50.2,64.4,2.1,61.6,2018,BLT,1.23,70,1,24,89,50,12,17,2018,12.8,58.3,422,48,97.1,3,73.8,5.9,72.4,69.2,270,7,17.9,4.9,BLT,1,88.2,3,TE,44.6,27,19,344,390,8.8,Mark Andrews,46.3,3,7,103,8,-0.02,3,47436,5
65,,67.5,5.9,67.6,2023,DEN,1.4,236,0,21,19,0,4,17,2023,0,75,477,49,99.3,1,75.4,2,86.2,30,107,0,66.1,0,DEN,0,95.2,1,WR,75.1,52,0,340,357,9.7,Marvin Mims Jr.,43.8,10,3,289,9.5,0.07,4,122937,2
65,74.5,71.2,2.2,71.7,2023,NE,1.45,471,0,33,09,1,14,18,2023,0.2,50,719,42,125.1,2,64.6,2.3,83.9,9.8,51,3,90.1,0.4,NE,0,95,1,WR,78.5,42,2,497,523,17.1,Kayshon Boutte,50.4,19,7,93,17.6,0.14,3,124087,7
64,,62.1,4.6,61.4,2018,HST,1.16,97,0,20,13,0,11,15,2018,0,27.3,403,38,60.9,5,59.4,9.5,57.2,73.2,271,2,26.2,0,HST,2,93.8,4,WR,77.9,47,0,347,370,10.6,Christian Kirk,42.9,13,3,174,8,-0.04,3,47546,3
64,60.9,65.6,2.8,64,2024,BUF,1.26,314,1,26,00,3,14,15,2024,0.8,35.7,450,40,96.5,2,62.5,11.1,51.5,16.1,61,3,83.1,0.3,BUF,1,94.2,5,WR,33.6,37,1,356,378,11.3,Keon Coleman,54.6,4,5,110,12.6,0.27,2,144949,5
64,55.4,61.2,4.4,62.6,2019,MIN,1.05,80,0,22,87,207,5,15,2019,43.1,60,438,51,110.8,0,79.7,7.3,64.8,39.8,191,4,16.7,7.3,MIN,0,87.1,4,TE,79.5,29,35,418,480,8.6,T.J. Hockenson,42.9,18,3,224,5.2,-0.17,5,40912,3
63,,52,2.2,54,2024,CAR,0.88,283,1,18,17,0,14,16,2024,0,42.9,371,36,70.3,3,57.1,2.7,80.4,37.4,169,9,62.6,0,CAR,2,93.8,1,WR,29.5,36,0,424,452,10.3,Xavier Legette,44.6,5,6,78,11,-0.08,6,99197,3
63,60.5,76.1,5.5,75.6,2023,JAX,1.58,59,0,28,85,188,10,13,2023,47.6,60,549,48,117.8,0,76.2,5.9,71.8,36.7,145,5,14.9,7.8,JAX,0,87.8,3,TE,79.5,30,31,347,395,11.4,Brenton Strange,48.4,15,6,265,7,0.16,10,101694,3
62,65.5,82.7,3.9,83.9,2022,GB,2.28,191,1,30,09,14,23,11,2022,4.7,47.8,647,38,120.8,2,61.3,2.6,81.9,31,92,1,64.3,0.3,GB,0,95.6,1,WR,29.6,52,1,284,297,17,Christian Watson,56.1,12,11,147,17.4,0.35,0,66581,7
62,35.7,59.6,3.1,60,2025,NYJ,1.05,84,0,23,85,196,14,13,2025,46.7,78.6,369,44,84.7,1,71,10.2,53.9,31.7,133,5,20,11,NYJ,3,84,5,TE,78.6,27,46,353,420,8.4,Mason Taylor,41.6,22,11,136,5.8,-0.18,0,157122,1
62,,60.9,5.7,62.9,2024,MIA,0.86,182,0,16,06,2,9,17,2024,0.5,55.6,317,46,87.9,2,74.2,2.1,86.3,48.2,185,2,47.4,0,MIA,0,95.8,1,WR,72.4,28,0,368,384,6.9,Malik Washington,43.8,17,5,262,5.4,-0.05,13,97108,3
60,25.1,86.7,6.1,86.1,2023,BUF,2.7,60,1,33,86,64,14,14,2023,23.5,57.1,682,48,152.9,0,80,4,70.9,53.7,146,2,22.1,1.1,BUF,0,93,2,TE,35.3,47,3,253,272,14.2,Dalton Kincaid,51.2,4,8,294,9.4,0.27,1,91791,7
60,65.9,58,5.1,59.3,2019,NYG,1.24,389,1,23,18,0,11,14,2019,0,27.3,538,37,96.4,0,61.7,14,43.1,16.5,77,4,83.5,0.2,NYG,0,92.9,6,WR,29.7,52,1,433,466,14.5,Darius Slayton,44.9,21,3,190,13.8,0,6,25578,1
59,,69.8,1.1,71.2,2014,TB,1.62,187,0,23,13,0,25,8,2014,0,48,368,30,73.3,2,50.8,11.8,50.9,25.8,65,3,74.2,0,TB,0,90.1,4,WR,76.8,45,0,227,252,12.3,Mike Evans,48.5,30,12,33,14.4,0.12,1,8642,3
59,,86.5,2.6,87,2019,WAS,2.22,245,0,33,17,0,15,10,2019,0,53.3,582,38,106.7,1,64.4,2.6,81.9,13.7,39,2,86.3,0,WAS,0,92.3,1,WR,77.9,56,0,262,284,15.3,Terry McLaurin,45,32,8,99,14.1,-0.05,3,48229,3
58,,54.6,3.9,55.4,2022,PIT,1.15,175,0,16,19,2,11,15,2022,0.6,45.5,380,34,73.9,3,58.6,8.1,61.2,49.3,173,2,49.9,0,PIT,0,94,3,WR,83.5,31,0,330,351,11.2,Calvin Austin III,42.1,25,5,132,11.1,-0.09,3,61418,3
57,51.8,46.8,4.6,49.4,2017,PIT,0.69,54,1,10,81,145,7,18,2017,40.3,42.9,221,40,88.4,0,70.2,4.8,73.9,43.1,155,6,15,5.6,PIT,1,88.3,2,TE,36.7,21,20,318,360,5.5,Jonnu Smith,41.2,25,3,185,4.5,-0.17,7,11855,2
56,74.8,53.7,3.1,53.8,2023,CIN,0.79,242,0,24,80,1,15,17,2023,0.2,20,435,33,88,1,58.9,13.2,44.3,58.2,340,1,41.4,0.5,CIN,0,94.5,5,WR,77.9,37,3,552,584,13.2,Andrei Iosivas,44.7,7,3,103,9.9,-0.02,2,109811,2
56,62.7,67.7,5,68.4,2019,BUF,1.35,52,0,26,88,194,11,19,2019,49.5,45.5,479,42,109.2,2,75,8.7,59.9,33.7,132,2,13.3,4.3,BUF,0,90.6,4,TE,78.4,32,17,355,392,11.4,Dawson Knox,50.3,4,5,208,7.5,0.18,2,35883,4
56,78.1,67.5,6.2,68.5,2021,PIT,1.41,59,0,22,88,96,9,18,2021,24.3,55.6,504,42,111,2,75,2.3,75.5,60.8,240,3,14.9,3.3,PIT,0,90.4,1,TE,78.4,68,13,357,395,12,Pat Freiermuth,40,25,5,260,7.3,-0.11,5,84085,4
55,,77.4,7.2,78.6,2023,NE,1.82,51,0,20,03,0,7,21,2023,0,57.1,531,39,125.6,0,70.9,4.9,75.3,81.7,254,0,16.4,0,NE,0,93.6,2,WR,79.8,58,0,291,311,13.6,Demario Douglas,51.2,19,4,281,9.7,0.15,7,104155,4
54,,72.5,2.7,72.1,2022,NYJ,1.76,148,1,18,05,0,12,7,2022,0,41.7,395,36,97.4,2,66.7,7.7,64.8,38.8,94,2,61.2,0,NYJ,1,93,3,WR,29.3,33,0,225,242,11,Garrett Wilson,43.1,22,5,98,9.8,-0.14,9,97405,4
54,58.6,78.1,9.5,52.9,2020,IND,0.92,27,1,15,28,0,4,17,2020,0,25,378,46,108.2,0,85.2,8,63,6,31,1,5.2,15.4,IND,0,79.2,4,HB,80.6,43,80,412,520,8.2,Jonathan Taylor,49.9,14,1,436,-0.7,0.07,9,57488,2
54,78.1,61.6,3.8,62.8,2016,TB,1.05,195,1,18,17,0,11,13,2016,0,45.5,371,39,97.1,0,72.2,2.5,82.2,49,187,2,51,0.8,TB,0,92.1,1,WR,32,36,3,352,382,9.5,Sterling Shepard,41.8,30,5,149,9.1,-0.15,5,10674,1
54,73.1,75.4,3.5,75.3,2024,CAR,1.61,150,1,27,18,3,11,12,2024,0.9,81.8,528,42,116.7,2,77.8,2.3,83.6,55.3,193,1,43,0.9,CAR,0,93.7,1,WR,78.4,52,3,327,349,12.6,Jalen Coker,44.5,5,9,149,10,-0.02,2,143068,4
54,55.7,66.5,3.7,69.3,2025,TEN,1.45,27,0,17,84,168,14,16,2025,56.4,64.3,357,44,106.6,0,81.5,6.4,68.2,34.2,102,3,9.1,15.1,TEN,1,82.6,3,TE,78.5,34,45,246,298,8.1,Gunnar Helm,39.2,31,9,164,5.7,-0.19,4,144726,2
53,56.4,77.9,4.5,75.6,2022,SF,1.34,24,1,26,88,198,9,15,2022,63.5,22.2,366,40,117.3,1,75.5,2.4,74.4,27.2,85,1,7.7,7.4,SF,0,87.8,1,TE,29.7,23,23,274,312,9.2,Jake Tonges,51.9,28,2,178,7.4,0.12,2,60864,5
53,,80.3,5,78.8,2024,DAL,1.74,187,0,29,19,0,10,15,2024,0,40,475,40,111.8,2,75.5,2.4,83,35.6,104,1,64,0,DAL,1,93.5,1,WR,79.1,46,0,273,292,11.9,Ryan Flournoy,50.9,9,4,201,9.8,0.09,7,159617,4
53,64.7,85.2,4.4,64.4,2022,LA,0.87,5,0,17,23,0,7,20,2022,0,71.4,351,44,125.7,0,83,4.3,76.8,6.4,36,1,0.9,25.3,LA,1,71.5,2,HB,79.9,30,142,402,562,8,Kyren Williams,52.2,26,5,193,3.2,0.22,4,97118,5
53,,71.6,2.2,73.2,2024,SF,1.68,259,0,27,01,0,11,10,2024,0,81.8,528,36,68.8,4,67.9,2.7,80.4,21.8,72,1,78.2,0,SF,0,94.9,1,WR,77.9,45,0,314,331,14.7,Ricky Pearsall,49.4,28,9,78,14,0.1,0,100660,0
53,,62.5,4.5,64.1,2017,SF,1.4,298,0,27,84,0,13,18,2017,0,46.2,551,37,87.9,2,69.8,15.9,31.7,27.1,111,3,72.9,0,SF,1,96.3,7,WR,77.6,56,0,394,409,14.9,Kendrick Bourne,48.7,28,6,167,11.3,0.03,5,12270,0
52,,52.1,2.6,52.8,2015,LV,0.78,112,0,14,17,1,10,17,2015,0.3,30,291,32,75.1,1,61.5,11.1,52.1,71.5,283,1,28.3,0,LV,0,94.4,4,WR,77,33,0,374,396,9.1,Tyler Lockett,38.2,23,3,84,7.3,-0.33,2,9502,1
52,44.4,67.9,8.2,46.8,2018,PHI,0.85,42,1,12,26,2,1,17,2018,0.4,0,298,40,102.9,0,76.9,9.1,58.3,7,33,2,8.9,22.4,PHI,1,74.1,4,HB,88.2,47,106,351,474,7.5,Saquon Barkley,45.9,24,0,328,0.5,0.07,11,45791,2
52,69.9,77.2,9.3,70.3,2021,NE,1.37,21,1,17,38,1,2,18,2021,0.2,50,471,44,123.6,0,84.6,2.2,84.7,0.6,3,1,4.4,23.4,NE,1,72,1,HB,55.2,55,112,344,478,10.7,Rhamondre Stevenson,49.3,19,1,411,3.2,0.16,10,98689,3
52,68,74.2,9.3,62.1,2021,JAX,1.17,12,1,17,01,0,2,18,2021,0,0,341,41,133.6,0,78.8,8.9,60.4,10.7,42,0,3.1,21.2,JAX,0,74.4,4,HB,76.5,45,83,291,391,8.3,Travis Etienne Jr.,45.7,15,0,383,-1.1,0,13,57185,7
51,64.9,63.6,4.7,66.6,2025,DEN,1.3,133,0,25,13,3,15,17,2025,0.9,60,412,35,75,3,68.6,7.9,63.9,58.7,196,5,39.8,0.3,DEN,1,95.2,3,WR,77.8,48,1,318,334,11.8,Pat Bryant,43.6,10,9,165,9.6,0.03,8,144800,1
51,,59.1,2.9,60.5,2020,TEN,0.93,342,0,17,11,0,11,16,2020,0,54.5,350,29,84.6,0,56.9,0,88,14.3,57,1,85.7,0,TEN,0,94,0,WR,76.6,43,0,375,399,12.1,Van Jefferson,40.5,31,6,83,12.6,-0.19,0,47447,1
50,49.2,75.3,8.3,90.2,2023,TEN,1.23,7,0,10,02,6,1,13,2023,2.1,100,264,45,80.3,1,90,2.2,84.8,8.7,25,2,2.4,21.3,TEN,1,74.9,1,HB,87.3,34,61,215,287,5.9,Tyjae Spears,36.2,31,1,374,-2.7,-0.2,26,97195,0
50,70.2,62.9,4.8,61.1,2020,CHI,0.96,93,0,19,85,282,6,18,2020,56.6,16.7,378,33,91.9,2,66,5.7,70.9,20.1,100,3,18.7,16.1,CHI,0,78.7,2,TE,77.6,31,80,392,498,11.5,Cole Kmet,48.5,6,1,159,9.2,0.09,2,60995,3
49,66.4,66.3,3.9,67.1,2022,MIN,1.06,178,0,23,01,1,12,17,2022,0.2,75,444,29,76.8,5,59.2,3.3,78.4,60.1,271,3,39.5,1.1,MIN,0,92.9,1,WR,77.8,62,5,419,451,15.3,Jalen Nailor,41.7,18,9,114,13.1,-0.18,3,84292,4
49,77.5,68.9,6.2,68.8,2017,TB,1.36,135,0,21,14,0,13,9,2017,0,46.2,360,33,93.9,1,67.3,5.7,70.8,54.1,159,0,45.9,1.4,TB,0,90.1,2,WR,77.3,59,4,265,294,10.9,Chris Godwin,45,30,6,206,7.8,0.02,10,11839,2
48,68.1,57.6,4.4,58.7,2022,NYJ,1.07,164,0,15,03,0,8,15,2022,0,37.5,274,33,79.7,2,68.8,10.8,51.6,37.1,98,1,62.1,0.4,NYJ,0,97,4,WR,79.9,22,1,256,264,8.3,John Metchie III,38.5,22,3,144,5.5,-0.24,1,97400,2
48,24.6,63.5,9,55.2,2020,CAR,1.13,39,1,14,05,0,0,18,2020,0,,303,40,91.2,1,83.3,4.8,74.3,5.9,20,3,11.4,15.2,CAR,0,78.6,2,HB,74.2,36,52,268,341,7.6,Rico Dowdle,43.2,5,0,361,-1,-0.2,7,40693,1
47,54.9,64.6,5.7,69.8,2023,LV,1.48,24,1,18,87,181,6,13,2023,64.9,16.7,328,35,73.7,3,74.5,5.4,71.4,23.3,65,2,8.6,14.7,LV,0,79.6,2,TE,28.9,23,41,222,279,9.4,Michael Mayer,38.5,23,1,200,4.8,-0.3,5,122906,1
47,52.6,83,11.2,64.9,2020,CHI,0.98,28,0,14,04,19,1,18,2020,4.4,0,337,36,102.9,0,76.6,7.7,65.7,3.7,16,3,6.5,15.9,CHI,1,80.4,3,HB,74.3,55,68,344,428,9.4,D'Andre Swift,48.6,6,0,402,-0.8,0.12,4,57212,1
47,27.8,68,7.1,58.3,2025,NE,0.92,24,0,8,32,1,1,21,2025,0.3,0,254,40,96.3,0,85.1,4.8,73.7,3.3,11,3,7.1,14.2,NE,1,81.9,2,HB,83.4,24,48,276,337,6.4,TreVeyon Henderson,53.6,19,0,285,0.1,0.15,11,145059,1
46,47.7,55.9,5,61.6,2017,CLV,1.06,48,0,11,85,186,12,12,2017,55.7,75,293,33,99.3,2,71.7,5.7,70.8,28.7,96,0,14.4,11.4,CLV,0,82.9,2,TE,28.6,23,38,277,334,8.9,David Njoku,34.3,8,9,166,5.9,-0.35,3,11784,4
46,,57.4,1.9,57.2,2014,BUF,0.89,261,0,18,18,0,17,17,2014,0,64.7,357,29,77.9,1,63,6.5,66.6,37.5,158,1,62,0,BUF,0,95.5,2,WR,76.3,50,0,402,421,12.3,Brandin Cooks,46.5,4,11,55,16.9,0,1,8655,0
46,66.4,70.5,4.4,72.7,2025,GB,1.53,175,0,20,00,6,6,15,2025,1.9,66.7,445,33,100.4,1,71.7,2.9,78.9,41.6,129,0,56.5,0.3,GB,0,93.9,1,WR,81.6,46,1,291,310,13.5,Matthew Golden,50,12,4,146,13.2,0.17,6,156165,1
46,67.7,63.3,4.7,66.6,2025,LAC,1.08,205,0,20,09,4,8,18,2025,1.2,75,344,32,89.4,1,69.6,3,78.4,35.7,117,2,62.5,0.6,LAC,0,97.3,1,WR,77.3,37,2,319,328,10.8,Tre Harris,49.8,27,6,151,9.7,-0.04,5,122676,1
46,66.5,75.3,5.8,45.7,2021,DAL,0.4,12,1,7,33,1,7,16,2021,0.2,0,137,35,92.5,0,76.1,2.8,80.5,3.9,19,1,2.4,25.3,DAL,0,69.9,1,HB,73.9,14,124,343,491,3.9,Javonte Williams,49.6,9,0,203,-1.1,0.11,7,77803,2
45,43.9,85.8,8.5,89.5,2019,GB,1.22,15,0,8,08,9,2,16,2019,2.9,100,285,37,100.5,0,82.2,0,90,2.6,8,1,4.8,21.3,GB,0,75.2,0,HB,63.6,31,66,233,310,7.7,Josh Jacobs,53.9,12,2,316,-0.8,0.32,8,45953,1
45,36,91.4,11.1,71.4,2022,SEA,1.64,17,1,19,09,3,1,20,2022,1,0,386,40,102.4,0,88.9,7,66.3,12,36,1,5.7,17.1,SEA,0,78.9,3,HB,87.5,46,51,236,299,9.7,Kenneth Walker III,52.3,29,0,442,-1,0.12,12,97199,0
45,60.6,82,6.8,83.2,2023,DET,2,52,0,23,87,115,7,9,2023,40.1,100,489,40,134.2,0,88.9,0,90.1,40.4,116,1,18.1,11.5,DET,0,85,0,TE,78.3,40,33,244,287,12.2,Sam LaPorta,52.7,11,7,273,5.7,0.22,8,101690,3
44,79.4,70.2,2.3,71.2,2023,GB,1.39,121,0,21,13,9,11,14,2023,3.6,63.6,332,30,86.6,2,68.2,9.1,58.8,48.6,123,1,47.8,1.6,GB,1,94.1,3,WR,77,30,4,238,253,11.1,Dontayvion Wicks,49.2,12,7,68,11.6,0.07,3,99711,2
44,41.9,80.4,8.1,59.2,2022,BUF,1.08,2,0,12,04,3,1,18,2022,0.9,0,320,37,112.1,0,84.1,7.5,64.3,3,10,1,0.6,7.4,BUF,0,88.4,3,HB,35.2,51,25,297,336,8.6,James Cook,50.9,4,0,300,1,0.15,8,83666,2
43,45.5,69.5,9.1,66,2024,NYG,1.06,29,1,14,29,0,3,15,2024,0,33.3,288,36,110.1,0,83.7,5.3,72.6,5.5,19,2,8.4,17.7,NYG,0,78.6,2,HB,79.7,42,61,271,345,8,Tyrone Tracy,43.7,21,1,327,0.5,0.05,10,84226,2
43,72,81,10.7,83.6,2022,PIT,1.51,6,0,13,30,13,0,17,2022,4.8,,337,41,114.8,0,95.3,2.4,83,3,8,0,2.2,14.4,PIT,0,82.3,1,HB,84.1,65,39,223,271,8.2,Jaylen Warren,46.5,25,0,440,-2.5,0.03,24,98692,2
43,,62.2,5,62.7,2025,JAX,1.32,80,1,12,12,0,8,7,2025,0,50,298,28,73.6,2,65.1,6.7,66.8,64.7,154,3,33.6,0,JAX,0,94.5,2,WR,27.3,44,0,225,238,10.6,Travis Hunter,41.3,15,4,141,8.1,-0.09,9,160766,1
43,68.4,71,7.4,65.1,2023,PIT,1.72,41,2,16,80,191,6,16,2023,68.5,50,364,31,95.5,1,72.1,11.4,50.8,16.8,47,1,14.7,19.7,PIT,0,76,4,TE,20.8,36,55,212,279,11.7,Darnell Washington,49.4,25,3,228,5.3,0.04,12,124044,1
42,58.2,80.9,8.2,67.1,2022,TB,0.72,24,0,10,01,0,0,17,2022,0,,218,40,88.3,0,95.2,0,90.2,7.4,30,0,5.9,19.6,TB,0,74.3,0,HB,90.2,18,80,303,408,5.5,Rachaad White,41.5,30,0,329,-2.1,-0.22,12,131633,0
42,,57.1,4.7,57.3,2025,CLV,0.98,199,0,12,16,0,12,16,2025,0,50,338,18,61.4,1,42.9,5.3,69.9,45.5,167,1,54.2,0,CLV,1,93.7,1,WR,77.5,52,0,344,367,18.8,Isaiah Bond,32,8,6,84,17,-0.31,1,163586,0
42,72.8,56.7,5.9,60.5,2017,KC,0.89,226,0,19,09,4,6,17,2017,1,50,345,33,89,2,78.6,2.9,70.3,44.3,183,4,54.7,0.7,KC,1,93.7,1,WR,77.1,30,3,387,413,10.5,JuJu Smith-Schuster,47.2,16,3,194,5.2,0.01,7,11817,1
42,62.4,63.5,3.8,64.3,2025,TB,1.08,189,0,16,15,0,6,16,2025,0,66.7,322,28,129.2,0,66.7,3.4,65.8,39.6,126,1,59.4,0.3,TB,0,93.4,1,WR,77.5,45,1,297,318,11.5,Tez Johnson,44.3,30,4,107,12.2,-0.09,6,123709,5
42,26,70.8,2.4,71.7,2018,CIN,1.22,51,0,19,88,7,11,13,2018,2.6,54.5,307,28,74.2,3,66.7,0,87.6,78.4,210,1,19,0.4,CIN,0,93.7,0,TE,76.5,37,1,251,268,11,Mike Gesicki,46,7,6,68,10.5,-0.05,0,47153,2
42,69.2,71.4,7.8,67.6,2021,ARZ,1.13,13,0,12,22,2,3,13,2021,0.7,33.3,267,33,93.2,0,78.6,5.7,69.5,3.1,9,0,4.4,16,ARZ,0,80.6,2,HB,88.5,18,47,237,294,8.1,Michael Carter,43.4,1,1,259,1.9,-0.06,17,57337,0
40,53.5,78.1,10.8,82.9,2023,GB,2.33,31,0,22,85,150,2,8,2023,58.8,50,489,32,157.2,0,80,8.6,51.7,29,74,1,12.2,12.9,GB,0,82.4,3,TE,77.2,59,33,210,255,15.3,Tucker Kraft,51.7,12,1,347,4.8,0.23,6,104034,6
40,45.8,83.5,9,75.2,2022,NYJ,1.37,12,0,13,20,0,1,16,2022,0,0,350,36,111.5,0,90,2.7,72.2,3.7,13,1,3.4,22.9,NYJ,0,73.4,1,HB,73.3,42,80,256,349,9.7,Breece Hall,41.1,22,0,325,1,-0.21,5,97636,1
40,48.9,67.5,9.3,59.1,2025,HST,0.8,21,0,8,27,2,5,18,2025,0.5,0,227,26,104.9,0,65,3.7,75.5,2,8,0,5.2,25.1,HST,0,70,1,HB,71.8,50,102,284,406,8.7,Woody Marks,41.6,13,0,242,2.3,-0.05,7,124179,3
